Id,LotArea,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,LotFrontage,Total Area,SalePrice
1,8450,7,2003,2003,196,706,150,856,856,854,1710,1,2,1,3,1,8,0,2003,2,548,0,61,0,0,0,65,5085,208500
2,9600,6,1976,1976,0,978,284,1262,1262,0,1262,0,2,0,3,1,6,1,1976,2,460,298,0,0,0,0,80,4546,181500
3,11250,7,2001,2002,162,486,434,920,920,866,1786,1,2,1,3,1,6,1,2001,2,608,0,42,0,0,0,68,5308,223500
4,9550,7,1915,1970,0,216,540,756,961,756,1717,1,1,0,3,1,7,1,1998,3,642,0,35,272,0,0,60,5141,140000
5,14260,8,2000,2000,350,655,490,1145,1145,1053,2198,1,2,1,4,1,9,1,2000,3,836,192,84,0,0,0,84,7007,250000
6,14115,5,1993,1995,0,732,64,796,796,566,1362,1,1,1,1,1,5,0,1993,2,480,40,30,0,0,0,85,4073,143000
7,10084,8,2004,2005,186,1369,317,1686,1694,0,1694,1,2,0,3,1,7,1,2004,2,636,255,57,0,0,0,75,6211,307000
8,10382,7,1973,1973,240,859,216,1107,1107,983,2090,1,2,1,3,1,7,2,1973,2,484,235,204,228,0,0,0,6650,200000
9,6120,7,1931,1950,0,0,952,952,1022,752,1774,0,2,0,2,2,8,2,1931,2,468,90,0,205,0,0,51,5265,129900
10,7420,5,1939,1950,0,851,140,991,1077,0,1077,1,1,0,2,2,5,2,1939,1,205,0,4,0,0,0,50,3356,118000
11,11200,5,1965,1965,0,906,134,1040,1040,0,1040,1,1,0,3,1,5,0,1965,1,384,0,0,0,0,0,70,3506,129500
12,11924,9,2005,2006,286,998,177,1175,1182,1142,2324,1,3,0,4,1,11,2,2005,3,736,147,21,0,0,0,85,7017,345000
13,12968,5,1962,1962,0,737,175,912,912,0,912,1,1,0,2,1,4,0,1962,1,352,140,0,0,176,0,0,3406,144000
14,10652,7,2006,2007,306,0,1494,1494,1494,0,1494,0,2,0,3,1,7,1,2006,3,840,160,33,0,0,0,91,5823,279500
15,10920,6,1960,1960,212,733,520,1253,1253,0,1253,1,1,1,2,1,5,1,1960,1,352,0,213,176,0,0,0,4715,157000
16,6120,7,1929,2001,0,0,832,832,854,0,854,0,1,0,2,1,5,0,1991,2,576,48,112,0,0,0,51,3277,132000
17,11241,6,1970,1970,180,578,426,1004,1004,0,1004,1,1,0,2,1,5,1,1970,2,480,0,0,0,0,0,0,3674,149000
18,10791,4,1967,1967,0,0,0,0,1296,0,1296,0,2,0,2,2,6,0,1967,2,516,0,0,0,0,0,72,3110,90000
19,13695,5,2004,2004,0,646,468,1114,1114,0,1114,1,1,1,3,1,6,0,2004,2,576,0,102,0,0,0,66,4023,159000
